年份,场景,品类,启动系数,活跃计费单元(百万),活跃企业数,一码单价(RMB),一码渗透率,一码收入(百万元)
2032,坏,机械设备/工业装备,1.0,90.46,9189.0,0.312,14.0%,3.95
2032,坏,纸张/木制品,1.0,995.53,5169.0,0.031,14.0%,4.35
2032,坏,医疗设备,1.0,116.97,2068.0,0.416,14.0%,6.81
2032,坏,皮革/鞋类,1.0,1813.79,10338.0,0.042,14.0%,10.56
2033,坏,电池,1.0,592.6,6159.0,2.65,16.0%,251.26
2033,坏,消费电子/电子电器,1.0,1380.45,14507.0,0.127,16.0%,28.09
2033,坏,纺织服装,1.0,6569.14,52725.0,0.021,16.0%,22.28
2033,坏,轮胎/橡胶制品,1.0,190.5,1757.0,0.159,16.0%,4.85
2033,坏,钢铁及钢制品,1.0,216.3,5858.0,0.127,16.0%,4.4
2033,坏,铝制品,1.0,95.22,1757.0,0.127,16.0%,1.94
2033,坏,家具,1.0,471.18,11717.0,0.106,16.0%,7.99
2033,坏,床垫/寝具,1.0,49.27,2929.0,0.085,16.0%,0.67
2033,坏,塑料/包装,1.0,2646.8,7030.0,0.021,16.0%,8.98
2033,坏,涂料/洗涤剂,1.0,935.46,2929.0,0.042,16.0%,6.35
2033,坏,汽车及零部件,1.0,21.56,4231.0,0.53,16.0%,1.83
2033,坏,建筑材料,1.0,304.02,5858.0,0.085,16.0%,4.13
2033,坏,玩具,1.0,3508.46,9373.0,0.042,16.0%,23.8
2033,坏,化工/清洁剂/个人护理,1.0,1865.61,3515.0,0.053,16.0%,15.82
2033,坏,家电白电,1.0,130.64,2929.0,0.159,16.0%,3.32
2033,坏,机械设备/工业装备,1.0,94.98,9373.0,0.318,16.0%,4.83
2033,坏,纸张/木制品,1.0,1015.44,5272.0,0.032,16.0%,5.17
2033,坏,医疗设备,1.0,121.65,2109.0,0.424,16.0%,8.25
2033,坏,皮革/鞋类,1.0,1886.34,10545.0,0.042,16.0%,12.8
2034,坏,电池,1.0,651.87,6405.0,2.7,18.0%,316.81
2034,坏,消费电子/电子电器,1.0,1463.28,14855.0,0.13,18.0%,34.14
2034,坏,纺织服装,1.0,6897.59,53779.0,0.022,18.0%,26.82
2034,坏,轮胎/橡胶制品,1.0,198.13,1793.0,0.162,18.0%,5.78
2034,坏,钢铁及钢制品,1.0,222.79,5975.0,0.13,18.0%,5.2
2034,坏,铝制品,1.0,98.08,1793.0,0.13,18.0%,2.29
2034,坏,家具,1.0,490.03,11951.0,0.108,18.0%,9.53
2034,坏,床垫/寝具,1.0,51.24,2988.0,0.086,18.0%,0.8
2034,坏,塑料/包装,1.0,2726.21,7171.0,0.022,18.0%,10.6
2034,坏,涂料/洗涤剂,1.0,963.52,2988.0,0.043,18.0%,7.49
2034,坏,汽车及零部件,1.0,22.86,4333.0,0.54,18.0%,2.22
2034,坏,建筑材料,1.0,313.15,5975.0,0.086,18.0%,4.87
2034,坏,玩具,1.0,3683.89,9561.0,0.043,18.0%,28.65
2034,坏,化工/清洁剂/个人护理,1.0,1921.58,3585.0,0.054,18.0%,18.68
2034,坏,家电白电,1.0,135.86,2988.0,0.162,18.0%,3.96
2034,坏,机械设备/工业装备,1.0,99.73,9561.0,0.324,18.0%,5.82
2034,坏,纸张/木制品,1.0,1035.75,5378.0,0.032,18.0%,6.04
2034,坏,医疗设备,1.0,126.52,2151.0,0.432,18.0%,9.84
2034,坏,皮革/鞋类,1.0,1961.8,10756.0,0.043,18.0%,15.25
2030,中,电池,1.0,445.23,5475.0,4.0,20.0%,356.19
2030,中,消费电子/电子电器,1.0,1159.05,13511.0,0.25,20.0%,57.95
2030,中,纺织服装,1.0,5674.67,49684.0,0.04,20.0%,45.4
2030,中,轮胎/橡胶制品,1.0,169.36,1656.0,0.3,20.0%,10.16
2030,中,钢铁及钢制品,1.0,197.95,5520.0,0.25,20.0%,9.9
2030,中,铝制品,1.0,87.14,1656.0,0.25,20.0%,4.36
2030,中,家具,1.0,418.88,11041.0,0.2,20.0%,16.76
2030,中,床垫/寝具,0.65,28.47,1794.0,0.18,20.0%,1.02
2030,中,塑料/包装,1.0,2422.2,6624.0,0.04,20.0%,19.38
2030,中,涂料/洗涤剂,0.65,556.45,1794.0,0.07,20.0%,7.79
2030,中,汽车及零部件,0.35,6.34,1379.0,1.0,20.0%,1.27
2030,中,建筑材料,0.35,97.38,1932.0,0.15,20.0%,2.92
2030,中,玩具,0.35,1060.76,3091.0,0.08,20.0%,16.97
2030,中,化工/清洁剂/个人护理,0.35,597.55,1159.0,0.09,20.0%,10.76
2030,中,家电白电,0.35,40.65,966.0,0.3,20.0%,2.44
2030,中,机械设备/工业装备,0.35,28.72,3091.0,0.6,20.0%,3.45
2030,中,纸张/木制品,0.35,334.9,1739.0,0.05,20.0%,3.35
2030,中,医疗设备,0.35,37.85,696.0,0.8,20.0%,6.06
2030,中,皮革/鞋类,0.35,586.93,3478.0,0.07,20.0%,8.22
2031,中,电池,1.0,489.76,5694.0,4.12,22.0%,443.91
2031,中,消费电子/电子电器,1.0,1228.6,13835.0,0.258,22.0%,69.6
2031,中,纺织服装,1.0,5958.4,50677.0,0.041,22.0%,54.01
2031,中,轮胎/橡胶制品,1.0,176.13,1689.0,0.309,22.0%,11.97
2031,中,钢铁及钢制品,1.0,203.88,5631.0,0.258,22.0%,11.55
2031,中,铝制品,1.0,89.75,1689.0,0.258,22.0%,5.08
2031,中,家具,1.0,435.63,11262.0,0.206,22.0%,19.74
2031,中,床垫/寝具,1.0,45.55,2815.0,0.185,22.0%,1.86
2031,中,塑料/包装,1.0,2494.87,6757.0,0.041,22.0%,22.61
2031,中,涂料/洗涤剂,1.0,881.76,2815.0,0.072,22.0%,13.99
2031,中,汽车及零部件,0.65,12.47,2623.0,1.03,22.0%,2.83
2031,中,建筑材料,0.65,186.27,3660.0,0.154,22.0%,6.33
2031,中,玩具,0.65,2068.48,5856.0,0.082,22.0%,37.5
2031,中,化工/清洁剂/个人护理,0.65,1143.03,2196.0,0.093,22.0%,23.31
2031,中,家电白电,0.65,78.51,1830.0,0.309,22.0%,5.34
2031,中,机械设备/工业装备,0.65,56.0,5856.0,0.618,22.0%,7.61
2031,中,纸张/木制品,0.65,634.4,3294.0,0.052,22.0%,7.19
2031,中,医疗设备,0.65,73.11,1318.0,0.824,22.0%,13.25
2031,中,皮革/鞋类,0.65,1133.62,6588.0,0.072,22.0%,17.98
2032,中,电池,1.0,538.73,5922.0,4.24,24.0%,548.21
2032,中,消费电子/电子电器,1.0,1302.31,14167.0,0.265,24.0%,82.83
2032,中,纺织服装,1.0,6256.32,51691.0,0.042,24.0%,63.66
2032,中,轮胎/橡胶制品,1.0,183.18,1723.0,0.318,24.0%,13.98
2032,中,钢铁及钢制品,1.0,210.0,5743.0,0.265,24.0%,13.36
2032,中,铝制品,1.0,92.45,1723.0,0.265,24.0%,5.88
2032,中,家具,1.0,453.06,11487.0,0.212,24.0%,23.05
2032,中,床垫/寝具,1.0,47.37,2872.0,0.191,24.0%,2.17
2032,中,塑料/包装,1.0,2569.71,6892.0,0.042,24.0%,26.15
2032,中,涂料/洗涤剂,1.0,908.21,2872.0,0.074,24.0%,16.17
2032,中,汽车及零部件,1.0,20.34,4132.0,1.06,24.0%,5.17
2032,中,建筑材料,1.0,295.17,5743.0,0.159,24.0%,11.26
2032,中,玩具,1.0,3341.39,9189.0,0.085,24.0%,68.0
2032,中,化工/清洁剂/个人护理,1.0,1811.27,3446.0,0.095,24.0%,41.47
2032,中,家电白电,1.0,125.61,2872.0,0.318,24.0%,9.59
2032,中,机械设备/工业装备,1.0,90.46,9189.0,0.636,24.0%,13.81
2032,中,纸张/木制品,1.0,995.53,5169.0,0.053,24.0%,12.66
2032,中,医疗设备,1.0,116.97,2068.0,0.848,24.0%,23.81
2032,中,皮革/鞋类,1.0,1813.79,10338.0,0.074,24.0%,32.3
2033,中,电池,1.0,592.6,6159.0,4.36,26.0%,671.78
2033,中,消费电子/电子电器,1.0,1380.45,14507.0,0.273,26.0%,97.8
2033,中,纺织服装,1.0,6569.14,52725.0,0.044,26.0%,74.47
2033,中,轮胎/橡胶制品,1.0,190.5,1757.0,0.327,26.0%,16.2
2033,中,钢铁及钢制品,1.0,216.3,5858.0,0.273,26.0%,15.32
2033,中,铝制品,1.0,95.22,1757.0,0.273,26.0%,6.75
2033,中,家具,1.0,471.18,11717.0,0.218,26.0%,26.71
2033,中,床垫/寝具,1.0,49.27,2929.0,0.196,26.0%,2.51
2033,中,塑料/包装,1.0,2646.8,7030.0,0.044,26.0%,30.0
2033,中,涂料/洗涤剂,1.0,935.46,2929.0,0.076,26.0%,18.56
2033,中,汽车及零部件,1.0,21.56,4231.0,1.09,26.0%,6.11
2033,中,建筑材料,1.0,304.02,5858.0,0.164,26.0%,12.92
2033,中,玩具,1.0,3508.46,9373.0,0.087,26.0%,79.54
2033,中,化工/清洁剂/个人护理,1.0,1865.61,3515.0,0.098,26.0%,47.58
2033,中,家电白电,1.0,130.64,2929.0,0.327,26.0%,11.11
2033,中,机械设备/工业装备,1.0,94.98,9373.0,0.654,26.0%,16.15
2033,中,纸张/木制品,1.0,1015.44,5272.0,0.055,26.0%,14.39
2033,中,医疗设备,1.0,121.65,2109.0,0.872,26.0%,27.58
2033,中,皮革/鞋类,1.0,1886.34,10545.0,0.076,26.0%,37.42
2034,中,电池,1.0,651.87,6405.0,4.48,28.0%,817.7
2034,中,消费电子/电子电器,1.0,1463.28,14855.0,0.28,28.0%,114.72
2034,中,纺织服装,1.0,6897.59,53779.0,0.045,28.0%,86.52
2034,中,轮胎/橡胶制品,1.0,198.13,1793.0,0.336,28.0%,18.64
2034,中,钢铁及钢制品,1.0,222.79,5975.0,0.28,28.0%,17.47
2034,中,铝制品,1.0,98.08,1793.0,0.28,28.0%,7.69
2034,中,家具,1.0,490.03,11951.0,0.224,28.0%,30.73
2034,中,床垫/寝具,1.0,51.24,2988.0,0.202,28.0%,2.89
2034,中,塑料/包装,1.0,2726.21,7171.0,0.045,28.0%,34.2
2034,中,涂料/洗涤剂,1.0,963.52,2988.0,0.078,28.0%,21.15
2034,中,汽车及零部件,1.0,22.86,4333.0,1.12,28.0%,7.17
2034,中,建筑材料,1.0,313.15,5975.0,0.168,28.0%,14.73
2034,中,玩具,1.0,3683.89,9561.0,0.09,28.0%,92.42
2034,中,化工/清洁剂/个人护理,1.0,1921.58,3585.0,0.101,28.0%,54.23
2034,中,家电白电,1.0,135.86,2988.0,0.336,28.0%,12.78
2034,中,机械设备/工业装备,1.0,99.73,9561.0,0.672,28.0%,18.76
2034,中,纸张/木制品,1.0,1035.75,5378.0,0.056,28.0%,16.24
2034,中,医疗设备,1.0,126.52,2151.0,0.896,28.0%,31.74
2034,中,皮革/鞋类,1.0,1961.8,10756.0,0.078,28.0%,43.07
2030,好,电池,1.0,445.23,5475.0,6.0,30.0%,801.42
2030,好,消费电子/电子电器,1.0,1159.05,13511.0,0.45,30.0%,156.47
2030,好,纺织服装,1.0,5674.67,49684.0,0.06,30.0%,102.14
2030,好,轮胎/橡胶制品,1.0,169.36,1656.0,0.5,30.0%,25.4
2030,好,钢铁及钢制品,1.0,197.95,5520.0,0.4,30.0%,23.75
2030,好,铝制品,1.0,87.14,1656.0,0.4,30.0%,10.46
2030,好,家具,1.0,418.88,11041.0,0.35,30.0%,43.98
2030,好,床垫/寝具,0.65,28.47,1794.0,0.3,30.0%,2.56
2030,好,塑料/包装,1.0,2422.2,6624.0,0.07,30.0%,50.87
2030,好,涂料/洗涤剂,0.65,556.45,1794.0,0.12,30.0%,20.03
2030,好,汽车及零部件,0.35,6.34,1379.0,1.8,30.0%,3.42
2030,好,建筑材料,0.35,97.38,1932.0,0.25,30.0%,7.3
2030,好,玩具,0.35,1060.76,3091.0,0.12,30.0%,38.19
2030,好,化工/清洁剂/个人护理,0.35,597.55,1159.0,0.15,30.0%,26.89
2030,好,家电白电,0.35,40.65,966.0,0.5,30.0%,6.1
2030,好,机械设备/工业装备,0.35,28.72,3091.0,1.0,30.0%,8.61
2030,好,纸张/木制品,0.35,334.9,1739.0,0.08,30.0%,8.04
2030,好,医疗设备,0.35,37.85,696.0,1.2,30.0%,13.63
2030,好,皮革/鞋类,0.35,586.93,3478.0,0.12,30.0%,21.13
2031,好,电池,1.0,489.76,5694.0,6.24,33.0%,1008.51
2031,好,消费电子/电子电器,1.0,1228.6,13835.0,0.468,33.0%,189.74
2031,好,纺织服装,1.0,5958.4,50677.0,0.062,33.0%,122.7
2031,好,轮胎/橡胶制品,1.0,176.13,1689.0,0.52,33.0%,30.22
2031,好,钢铁及钢制品,1.0,203.88,5631.0,0.416,33.0%,27.99
2031,好,铝制品,1.0,89.75,1689.0,0.416,33.0%,12.32
2031,好,家具,1.0,435.63,11262.0,0.364,33.0%,52.33
2031,好,床垫/寝具,1.0,45.55,2815.0,0.312,33.0%,4.69
2031,好,塑料/包装,1.0,2494.87,6757.0,0.073,33.0%,59.94
2031,好,涂料/洗涤剂,1.0,881.76,2815.0,0.125,33.0%,36.31
2031,好,汽车及零部件,0.65,12.47,2623.0,1.872,33.0%,7.71
2031,好,建筑材料,0.65,186.27,3660.0,0.26,33.0%,15.98
2031,好,玩具,0.65,2068.48,5856.0,0.125,33.0%,85.19
2031,好,化工/清洁剂/个人护理,0.65,1143.03,2196.0,0.156,33.0%,58.84
2031,好,家电白电,0.65,78.51,1830.0,0.52,33.0%,13.47
2031,好,机械设备/工业装备,0.65,56.0,5856.0,1.04,33.0%,19.22
2031,好,纸张/木制品,0.65,634.4,3294.0,0.083,33.0%,17.42
2031,好,医疗设备,0.65,73.11,1318.0,1.248,33.0%,30.11
2031,好,皮革/鞋类,0.65,1133.62,6588.0,0.125,33.0%,46.69
2032,好,电池,1.0,538.73,5922.0,6.48,36.0%,1256.75
2032,好,消费电子/电子电器,1.0,1302.31,14167.0,0.486,36.0%,227.85
2032,好,纺织服装,1.0,6256.32,51691.0,0.065,36.0%,145.95
2032,好,轮胎/橡胶制品,1.0,183.18,1723.0,0.54,36.0%,35.61
2032,好,钢铁及钢制品,1.0,210.0,5743.0,0.432,36.0%,32.66
2032,好,铝制品,1.0,92.45,1723.0,0.432,36.0%,14.38
2032,好,家具,1.0,453.06,11487.0,0.378,36.0%,61.65
2032,好,床垫/寝具,1.0,47.37,2872.0,0.324,36.0%,5.53
2032,好,塑料/包装,1.0,2569.71,6892.0,0.076,36.0%,69.94
2032,好,涂料/洗涤剂,1.0,908.21,2872.0,0.13,36.0%,42.37
2032,好,汽车及零部件,1.0,20.34,4132.0,1.944,36.0%,14.24
2032,好,建筑材料,1.0,295.17,5743.0,0.27,36.0%,28.69
2032,好,玩具,1.0,3341.39,9189.0,0.13,36.0%,155.9
2032,好,化工/清洁剂/个人护理,1.0,1811.27,3446.0,0.162,36.0%,105.63
2032,好,家电白电,1.0,125.61,2872.0,0.54,36.0%,24.42
2032,好,机械设备/工业装备,1.0,90.46,9189.0,1.08,36.0%,35.17
2032,好,纸张/木制品,1.0,995.53,5169.0,0.086,36.0%,30.96
2032,好,医疗设备,1.0,116.97,2068.0,1.296,36.0%,54.57
2032,好,皮革/鞋类,1.0,1813.79,10338.0,0.13,36.0%,84.62
2033,好,电池,1.0,592.6,6159.0,6.72,39.0%,1553.1
2033,好,消费电子/电子电器,1.0,1380.45,14507.0,0.504,39.0%,271.34
2033,好,纺织服装,1.0,6569.14,52725.0,0.067,39.0%,172.16
2033,好,轮胎/橡胶制品,1.0,190.5,1757.0,0.56,39.0%,41.61
2033,好,钢铁及钢制品,1.0,216.3,5858.0,0.448,39.0%,37.79
2033,好,铝制品,1.0,95.22,1757.0,0.448,39.0%,16.64
2033,好,家具,1.0,471.18,11717.0,0.392,39.0%,72.03
2033,好,床垫/寝具,1.0,49.27,2929.0,0.336,39.0%,6.46
2033,好,塑料/包装,1.0,2646.8,7030.0,0.078,39.0%,80.93
2033,好,涂料/洗涤剂,1.0,935.46,2929.0,0.134,39.0%,49.03
2033,好,汽车及零部件,1.0,21.56,4231.0,2.016,39.0%,16.95
2033,好,建筑材料,1.0,304.02,5858.0,0.28,39.0%,33.2
2033,好,玩具,1.0,3508.46,9373.0,0.134,39.0%,183.9
2033,好,化工/清洁剂/个人护理,1.0,1865.61,3515.0,0.168,39.0%,122.23
2033,好,家电白电,1.0,130.64,2929.0,0.56,39.0%,28.53
2033,好,机械设备/工业装备,1.0,94.98,9373.0,1.12,39.0%,41.49
2033,好,纸张/木制品,1.0,1015.44,5272.0,0.09,39.0%,35.48
2033,好,医疗设备,1.0,121.65,2109.0,1.344,39.0%,63.76
2033,好,皮革/鞋类,1.0,1886.34,10545.0,0.134,39.0%,98.87
2034,好,电池,1.0,651.87,6405.0,6.96,42.0%,1905.53
2034,好,消费电子/电子电器,1.0,1463.28,14855.0,0.522,42.0%,320.81
2034,好,纺织服装,1.0,6897.59,53779.0,0.07,42.0%,201.63
2034,好,轮胎/橡胶制品,1.0,198.13,1793.0,0.58,42.0%,48.26
2034,好,钢铁及钢制品,1.0,222.79,5975.0,0.464,42.0%,43.42
2034,好,铝制品,1.0,98.08,1793.0,0.464,42.0%,19.11
2034,好,家具,1.0,490.03,11951.0,0.406,42.0%,83.56
2034,好,床垫/寝具,1.0,51.24,2988.0,0.348,42.0%,7.49
2034,好,塑料/包装,1.0,2726.21,7171.0,0.081,42.0%,92.97
2034,好,涂料/洗涤剂,1.0,963.52,2988.0,0.139,42.0%,56.33
2034,好,汽车及零部件,1.0,22.86,4333.0,2.088,42.0%,20.04
2034,好,建筑材料,1.0,313.15,5975.0,0.29,42.0%,38.14
2034,好,玩具,1.0,3683.89,9561.0,0.139,42.0%,215.37
2034,好,化工/清洁剂/个人护理,1.0,1921.58,3585.0,0.174,42.0%,140.43
2034,好,家电白电,1.0,135.86,2988.0,0.58,42.0%,33.1
2034,好,机械设备/工业装备,1.0,99.73,9561.0,1.16,42.0%,48.59
2034,好,纸张/木制品,1.0,1035.75,5378.0,0.093,42.0%,40.37
2034,好,医疗设备,1.0,126.52,2151.0,1.392,42.0%,73.97
2034,好,皮革/鞋类,1.0,1961.8,10756.0,0.139,42.0%,114.69
